,lib_organisation,Nb_attack
771,lbsnaa,5
772,emcoltd,5
773,phoenix,5
774,cpti,5
775,schadenhilfe,5
776,antares,5
777,europa,5
778,cnc,5
779,msn,5
780,unidadvisionvenezuela,5
781,facebook,5
782,rsud,5
783,jmc,5
784,open,5
785,eco,5
786,ingenieria,5
787,sme,5
788,undp,5
789,outlook,5
790,gardenferm,5
791,ssp,5
792,elcidvacationsclub,5
793,panlegis,5
794,ve,5
795,cd,5
796,tara,5
797,myorder,5
798,fundacion,5
799,mmm,5
800,fenix,5
801,lead,5
802,start,5
803,itaipu,5
804,sam,5
805,sql1,5
806,energygroupinternational,5
807,dvd,5
808,blubirdphoto,5
809,omega,5
810,mideplan,5
811,newperspectivedesign,5
812,starpointresortsscam,5
813,tcs,4
814,claro,4
815,renderit,4
816,abe,4
817,weng,4
818,bible,4
819,agwtc,4
820,mhceck,4
821,strategyforsuccessfulbusiness,4
822,uruguayxxi,4
823,altocampoo,4
824,koko,4
825,opac,4
826,dms,4
827,recurreya,4
828,china,4
829,aula,4
830,batterseabrewery,4
831,confixx,4
832,plastimo,4
833,fotos,4
834,faculty,4
835,sep,4
836,fatjames,4
837,g-cc,4
838,francescovaiasuso,4
839,4,4
840,epic-catering,4
841,feuerwehr,4
842,dpps,4
843,gardenwriters,4
844,pansophic,4
845,shopamericavip,4
846,crp,4
847,asics,4
848,viva,4
849,ins,4
850,freemail,4
851,asesor,4
852,contact,4
853,81,4
854,promo,4
855,abi,4
856,uniki,4
857,ansfelden,4
858,eti,4
859,mhs,4
860,einstein,4
861,galeria,4
862,mercedes,4
863,onp,4
864,dev2,4
865,mps,4
866,cog,4
867,67,4
868,getart-stlouis,4
869,ge,4
870,hsh,4
871,opus,4
872,oyun,4
873,partners,4
874,nova,4
875,farmhousesinfrance,4
876,lo,4
877,onlineshopping24-7,4
878,atelierelegancia,4
879,comm,4
880,leonardo,4
881,itc,4
882,virtualmexico,4
883,amofotos,4
884,df,4
885,bar,4
886,quantum,4
887,atena,4
888,i-cc,4
889,amsoft,4
890,teachersandtechnology,4
891,wuyimountain,4
892,nlp,4
893,correio,4
894,sid,4
895,daoc,4
896,lee,4
897,austin,4
898,acp,4
899,scootervintage,4
900,pegatanque,4
901,malango,4
902,15fyg,4
903,xeno,4
904,mobisfera,4
905,steve,4
906,fred,4
907,l-cc,4
908,integrated,4
909,cairo,4
910,bike,4
911,blh,4
912,ges,4
913,pepsi,4
914,iranpainmanagement,4
915,bergen,4
916,rainbow,4
917,teste,4
918,cbm,4
919,cad,4
920,europe-internet,4
921,volvo,4
922,nwwf,4
923,trt,4
924,okucia,4
925,sistema,4
926,kim,4
927,1stlink,4
928,ba,4
929,loja,4
930,royal,4
931,liveshowworld,4
932,amp,4
933,tq,4
934,marcobrughi,4
935,asap,4
936,aquastream,4
937,services,4
938,ccdm,4
939,curitiba,4
940,ceprobol,4
941,schools,4
942,thor,4
943,taishingtravel,4
944,bowling,4
945,planchasdepelo,4
946,onabe,4
947,misasia,4
948,salud,4
949,waiching,4
950,green,4
951,auctions,4
952,pokemon,4
953,docs,4
954,articapublicidad,4
955,bsa,4
956,unfpa,4
957,cancer,4
958,psionix,4
959,autoglassintucson,4
960,shoppingcentermilano,4
961,system,4
962,var,4
963,u-cc,4
964,nationwideautobuyers,4
965,chaintech,4
966,dodge,4
967,yazd,4
968,acc,4
969,astro,4
970,drupal,4
971,stm,4
972,card,4
973,napolcom,4
974,moon,4
975,dp,4
976,ceu,4
977,biotech,4
978,nyconet,4
979,global,4
980,conference,4
981,subaru,4
982,rdl,4
983,tr,4
984,svn,4
985,500top,4
986,ls,4
987,whmcs,4
988,oa,4
989,biblio,4
990,jwmaxxsolutionsreviews,4
991,peace,4
992,pswdoptimists,4
993,reticuli,4
994,asic,4
995,cr,4
996,netfarmacias,4
997,bfce,4
998,ida,4
999,duezetasnc,4
1000,ensino,4
1001,zoo,4
1002,primero,4
1003,igotchacovered,4
1004,dppkad,4
1005,sagitta,4
1006,hb,4
1007,donauakademie,4
1008,ardom,4
1009,ks,4
1010,aps,4
1011,web4,4
1012,caracashosting,4
1013,neetr,4
1014,vacancyrewardsscams,4
1015,development,4
1016,homehaus,4
1017,melissa,4
1018,ame,4
1019,seplan,4
1020,pp,4
1021,zeenews,4
1022,mucyt,4
1023,fcc,4
1024,lcc,4
1025,mitsubishielectric,4
1026,nt-guru,4
1027,isa,4
1028,oberon,4
1029,opel,4
1030,amigatutorials,4
1031,asd,4
1032,catalog,4
1033,hyundai,4
1034,bs,4
1035,pinnocks,4
1036,sco,4
1037,forumsec,4
1038,flash,4
1039,gateway,4
1040,invest,4
1041,elcidvacationclubresenas,4
1042,ada,4
1043,alex,4
1044,dog,4
1045,bu-design,4
1046,imbm,4
1047,strugglingyoungadult,4
1048,lustrdiamonds,4
1049,acvc,4
1050,kaizen,4
1051,dvornet,4
1052,coca-cola,4
1053,pi,4
1054,servicos,4
1055,cic,4
1056,eortc,4
1057,cliffordcranes,4
1058,articamedia,4
1059,aeci,4
1060,mab,4
1061,dps,4
1062,nbo,4
1063,cornix,4
1064,serviserji,4
1065,tao,4
1066,distrimax,4
1067,alifrut,4
1068,cobalt,4
1069,dbz,4
1070,certified-used-cars,4
1071,araraquara,4
1072,cursos,4
1073,proinfo,4
1074,legendsfield,4
1075,amigadirectory,4
1076,leadership,4
1077,fmc,4
1078,shtdu,4
1079,legambiente,4
1080,admesecurity,4
1081,njpdblue,4
1082,tecdata,4
1083,cmc,4
1084,productosprofesionales,4
1085,tu,4
1086,tk,4
1087,fantasy,4
1088,isracosmetics,4
1089,kaneza,4
1090,tcm,4
1091,dallas,4
1092,pub,4
1093,bankdebinary,4
1094,kungfu,4
1095,sie,4
1096,studio,4
1097,lge,4
1098,huincarenanco,4
1099,abs,4
1100,aja,4
1101,ia,4
1102,sh,4
1103,yasumu,4
1104,yumetal,4
1105,mtc,4
1106,krystalresortscam,4
1107,afterdarkpublishing,4
1108,microconnectors,4
1109,balearsculturaltour,4
1110,smoothaircharter,4
1111,bus,4
1112,evangelizacion,4
1113,impulse,4
1114,newvenezuela,4
1115,hilgys,4
1116,ntserver,4
1117,wills-solutions,4
1118,willssolutions,4
1119,shopping,4
1120,sirius,4
1121,garfield,4
1122,e-learning,4
1123,focus,4
1124,lopez,4
1125,ca,4
1126,adexperu,4
1127,bosch,4
1128,sparrow,4
1129,blackstonecrudellc,4
1130,projektzeitung,4
1131,ams,4
1132,starpointresortgroup,4
1133,hirek,4
1134,pasline,4
1135,aciam-net,4
1136,mohe,4
1137,econtent,4
1138,oceanviewdrivesuites,4
1139,cc,4
1140,financial,4
1141,phs,4
1142,planet,4
1143,expressionseventdesign,4
1144,casadiaz,4
1145,intertech,4
1146,ccst,4
1147,pamd,4
1148,thefuture,4
1149,vitaliwatersport,4
1150,tes,4
1151,daily,4
1152,sa,4
1153,cdc,4
1154,mhyt,4
1155,bpltd,4
1156,cps,4
1157,coco,4
1158,adil,4
1159,ute,4
1160,cearaimoveis,4
1161,eagles,4
1162,santafe,4
1163,pacer,4
1164,ronaldingram,4
1165,connect,4
1166,solutions,4
1167,bem,4
1168,mvsspot,4
1169,chess,4
1170,jeanettebunntraveltogo-usa,4
1171,lavanderia,4
1172,jvc,4
1173,mutinfo,4
1174,monirulnews,4
1175,gate,4
1176,prestonet,4
1177,phpmyadmin,4
1178,cinema,4
1179,parking,4
1180,srv1,4
1181,relay,4
1182,biodynamicsmedical,4
1183,1sys,4
1184,groups,4
1185,rem,4
1186,liuxuecanada,4
1187,wii,4
1188,love,4
1189,unimed,4
1190,w2,4
1191,johnefrem,4
1192,tartpans,4
1193,gps,4
1194,max,4
1195,lcn,4
1196,descargas,4
1197,vortex,4
1198,dispora,4
1199,pfuisi,4
1200,curriculum,4
1201,gas,4
1202,nuformer,4
1203,tce,4
1204,siemens,4
1205,boterosoto,4
1206,acme,4
1207,chinese,4
1208,eventos,4
1209,accord,4
1210,guhtbirdd,4
1211,ak,4
1212,proyecto,4
1213,sci,4
1214,signatureresidenceclub,4
1215,ibra,4
1216,panlegisltd,4
1217,phpbb,4
1218,alabamagulfcoastzoo,4
1219,elcidtimeshare,4
1220,bali,4
1221,pressroom,4
1222,ttc,4
1223,foren,4
1224,ncc,4
1225,lifestyleholidayvacationclub,4
1226,lifestyleholidaysvacationclubcomplaints,4
1227,root,4
1228,bpc,4
1229,pds,4
1230,sail,4
1231,worldshop24-7,4
1232,btc,4
1233,provincia,4
1234,ist,4
1235,rondomagazin,4
1236,antiviral,4
1237,b-g,4
1238,techalliancegroup,4
1239,gawlerplacejeweller,4
1240,ljei,4
1241,zuprevencion,4
1242,lajollamazatlanscam,4
1243,gwsm,4
1244,iv,4
1245,dj,4
1246,webmaster,4
1247,anb,4
1248,ns0,4
1249,coca-colaecuador,4
1250,emcolimited,4
1251,emco-limited,4
1252,panel,4
1253,im,4
1254,daeyangfs,4
1255,the-yemen,4
1256,sellheritage,4
1257,archives,4
1258,disnak,4
1259,aia,4
1260,dom,4
1261,datapro,4
1262,ritsec,4
1263,mta,4
1264,vip,4
1265,fusion,4
1266,boards,4
1267,moi,4
1268,affiliate,4
1269,dotnetnuke,4
1270,ccpc,4
1271,accor,4
1272,kppt,4
1273,visa,4
1274,cenpak,4
1275,cb,4
1276,jim,4
1277,proyectos,4
1278,serrao,4
1279,pic,4
1280,glptaylors,4
1281,auto,4
1282,uema,4
1283,alasbarricadas,4
1284,ykmak,4
1285,emsibeth,4
1286,solaris,4
1287,camara,4
1288,uaw1112,4
1289,dinersclub,4
1290,mailer,4
1291,fortestrong,4
1292,asktopexperts,4
1293,poder-judicial,4
1294,emc,4
1295,quake,4
1296,computec,4
1297,ccjh,4
1298,breezesoft,4
1299,bio,4
1300,econ,4
1301,arts,4
1302,134,4
1303,iris,4
1304,payments,4
