,lib_attacker,Nb_attack
550,sn!per-baghdad,53
551,d-force,53
552,bosen,53
553,jackal,53
554,error911,53
555,gix.d3vil,53
556,lost souls,52
557,beyaz_hacker,52
558,akincilar,52
559,d.h.t,52
560,by-nasah,52
561,sadhacker,52
562,sala 14,52
563,naturon,52
564,muj4z3f,52
565,mr.aryeakoplaxz404,51
566,qahtan-sniper,51
567,syrian ghost,51
568,team mosta,51
569,code-newbie,51
570,malcom-x,51
571,king420,51
572,hidden wrestle,51
573,hidden pain,50
574,deathsymb0l,50
575,blueskrinz,50
576,busindre,49
577,dr.tsaheel,49
578,crazy_hacker,49
579,hepatit,49
580,team hitman ha,49
581,wesker hacker,49
582,shi5-alhacker,49
583,mr.sohayl,48
584,xenon404,48
585,team special agent,48
586,lionel majdii,48
587,d.o.m,48
588,bsc,47
589,mauzzz[br,47
590,jinja,47
591,fl1t0x_dz,47
592,the key40,47
593,n3t1k3rt1,47
594,phc,47
595,ottoman-empire,47
596,novatox klan,46
597,parsiland security team,46
598,sultan brain,46
599,s0l4r1s,46
600,ryden,46
601,tundergun,46
602,bitire215,46
603,angel dot id,45
604,e_d,45
605,hero boy,45
606,hacked by dr. cruzz,45
607,kgtr,45
608,ryghost,45
609,sanalappung,45
610,r00ted,45
611,piratehunter,45
612,mr.jerk74,45
613,neel,44
614,silver hacker,44
615,x-s4nd3r,44
616,zengi khalid,44
617,cord3r,44
618,alieltop,43
619,immortal,43
620,lun4t1c0,43
621,ere.corp,43
622,freestyler&amp;#8482; - fs,43
623,shia,43
624,satanic lords,43
625,romel,43
626,ph33r hax0r crew,43
627,pentaguard,43
628,phrozen,42
629,saidinh0,42
630,syniack,42
631,xf-frizzy,42
632,ukr security team,42
633,ghost_x,42
634,masad hacker,42
635,511-team,42
636,asterisk,42
637,dasher hacker,41
638,iranian boys b,41
639,kingserb,41
640,eagle,41
641,winsatanic,41
642,swt,41
643,netsec1,41
644,ne0tz,40
645,mr.c4n1,40
646,ph33r the b33r,40
647,palastenian ghost,40
648,sh0ut,40
649,sniper.sites,40
650,rush,40
651,usac,40
652,uz11,40
653,woltaj.org,40
654,ehw,40
655,ghost of iraq,40
656,ghost western sahara,40
657,hackbsd crew,40
658,kã¼ã§ã¼kral,40
659,linuxploit_cre,40
660,lion.hacker,40
661,dj_gunah,40
662,assert,40
663,blackhunter.dz,40
664,acidk|own,40
665,d4t4 hunt3r,39
666,crazy cracker,39
667,joegoel,39
668,h2o,39
669,genesys,39
670,virusman,39
671,ymh,38
672,ufuq,38
673,saif ule est,38
674,nz[e,38
675,mortal kombat,38
676,mr.p3rfekt,38
677,game_over,38
678,fireman,38
679,jagad dot id,38
680,islamic ghosts,38
681,l1k d1sp4re,38
682,madgerm,38
683,analista,38
684,attacked s0ul,38
685,avengers team,37
686,black-hacker,37
687,alireza_promis,37
688,dr-hacker,37
689,ismail attacker,37
690,eno7,37
691,hacked by mrfikou39,37
692,hexyl,37
693,mr.linux,37
694,mhc,37
695,moroccan agent secret,37
696,mkaweddz,37
697,naruto hacker,37
698,muslimaqeel,37
699,noface,37
700,over-x,37
701,tulog,37
702,team sql,36
703,tasavvuf,36
704,scurvy,36
705,rapcik0,36
706,syrian-lion,36
707,spook,36
708,ssh-2,36
709,hcinou,36
710,h4ck3rsbr,36
711,free7hacker,36
712,ktn,36
713,cyb3r fuck3rs,36
714,cvir.system,36
715,c4,36
716,0day,36
717,acme,35
718,ali_d3c0d3r,35
719,brazilian cyber army,35
720,localgroup hackers,35
721,gideon,35
722,haxna,35
723,hamzah uygun,35
724,ratkid,35
725,secureinfo,35
726,ph4th0rm0n,35
727,purgatory-vx,35
728,mr amir-palangi,35
729,thelinux,35
730,tig,35
731,m-taqi,34
732,mrakhlak,34
733,poltergeisth4cker,34
734,pcw,34
735,erhabi hail,34
736,m?-war?ing,34
737,j2team,34
738,indosniffing,34
739,iha,34
740,audisoft hacker team,34
741,ali ahmady,34
742,c4nb4r15,34
743,chamuju,34
744,curvasud1899,34
745,data control,34
746,dr-plus,33
747,dr.crack,33
748,clash hackrz,33
749,1337,33
750,brkod,33
751,indishell,33
752,injection master,33
753,mafia hacking,33
754,m4trix,33
755,f1k1 404,33
756,duty,33
757,graywolt,33
758,net-mafia,33
759,mohamad vaker,33
760,rkadeh 7rb,33
761,u.i.p,33
762,unfair devils,33
763,win32conficker,33
764,whitehexor,32
765,unsecuritybr,32
766,ytcracker,32
767,woi,32
768,system,32
769,reptex,32
770,mr.qlq,32
771,mur@t,32
772,havoc korp,32
773,fl0rix,32
774,g4el,32
775,ly^h4x0r,32
776,invisibl3,32
777,jtec,32
778,kernel,32
779,brwsk007,32
780,bd grey hat ha,32
781,anathema hacking team,32
782,dr.hacker,32
783,de4dly_poison,31
784,caprazates.org,31
785,by_tilki,31
786,bytrn,31
787,cr1m1n4l z0n3,31
788,ali toofan,31
789,3r0s,31
790,bela,31
791,by 3xroot,31
792,indonymous,31
793,m4d3x,31
794,h.b.i,31
795,mid-range,31
796,savvycrew,31
797,sql_st,31
798,uykusuz001,31
799,viendr0ns,31
800,warlord1101,31
801,vip,30
802,v3n0m,30
803,tn_x2x,30
804,sniper-exploits,30
805,s.a.z badboy,30
806,s3n4t0r,30
807,net^devil,30
808,pscript,30
809,outlawp,30
810,h4kurd-team,30
811,hitler alkwald,30
812,elite top team,30
813,m3rhametsiz,30
814,ihg,30
815,islamiteam,30
816,jeopardy,30
817,kebab kru,30
818,by_fatih,30
819,blues brothers,30
820,bin laden hacker,30
821,black hat group,30
822,casushack.com,30
823,chaa0z,30
824,denamiti-x8,30
825,darkbicho,29
826,callderoon,29
827,busabos,29
828,brainstorm,29
829,adem psyco,29
830,al-ksnder hacker,29
831,al-mafia hacker,29
832,independent hackers,29
833,mach!n3,29
834,marslinio,29
835,duzenliordu.com,29
836,evil cell,29
837,e-system,29
838,pepsi,29
839,nerf,29
840,mr.dj,29
841,r3dh0t,29
842,turkhacks.com,29
843,team hacker egypt,29
844,the cr0w,29
845,w3sv,29
846,v00doo 2eam,28
847,turk kursunu,28
848,turkguvenligi.info,28
849,triad,28
850,triple h,28
851,r00t-access crew,28
852,sli,28
853,syrian_34g13,28
854,muertedigital,28
855,general,28
856,holako,28
857,hacker1,28
858,king of contro,28
859,joseph,28
860,jokerh,28
861,karaseytan,28
862,assassin_hackers,28
863,c1qaro,28
864,byrossi,28
865,cyb3r h4x0r,28
866,cyberprotest,28
867,byguneyli,27
868,ameeralkafage,27
869,arghhhh,27
870,3ldiosfenix,27
871,katliamci06,27
872,katliamturk.com,27
873,khan007,27
874,illegalworld,27
875,mathieu,27
876,lafanga,27
877,hiv security team,27
878,haxobugz,27
879,evilz,27
880,my-hax,27
881,mr_twig,27
882,mrd0x,27
883,mjdy arar,27
884,sund4nym0uz,27
885,spookkey,27
886,rmp,27
887,security eviles,27
888,scorpionktx,27
889,top sat 13_dz,27
890,zr007,27
891,team echo,26
892,wlh3an,26
893,y,26
894,spiral,26
895,sofh,26
896,shbh baghdad,26
897,mr_hz,26
898,nouse,26
899,f1qs,26
900,fiofa fado,26
901,filterb0x,26
902,kuh,26
903,linux stunter,26
904,ilmc,26
905,imcb,26
906,jaluxs,26
907,is,26
908,dcoder,26
909,dr.mozo,26
910,drakula,26
911,cengkaroxz,25
912,colapse,25
913,cyber_taregh,25
914,134-dz,25
915,1nt3rc0d3r,25
916,amerikali_gs,25
917,by_h@ckero,25
918,iraq-ghost,25
919,king_wolf,25
920,kne-na,25
921,lionturk,25
922,eniac,25
923,elite boys,25
924,hackstarz,25
925,htlr,25
926,mr.sobhan s[s]s,25
927,rummykhan,25
928,yalniz-bozkurt,25
929,xdrkeefx,25
930,zombie-root,25
931,w1ch3rd,24
932,the white wolf,24
933,thekillers,24
934,sahrawihacker,24
935,sanal_dabbe,24
936,sovalye,24
937,srabithail,24
938,suram-crew,24
939,mr.l,24
940,mowber,24
941,n00b|sliver,24
942,heroturk,24
943,hack.be,24
944,gonzhack,24
945,gigen,24
946,dz-evils team,24
947,fl3m,24
948,for muslims,24
949,fauzanfirzaa,24
950,genhacker turkish security crew,24
951,loucos.br,24
952,m4ck,24
953,justic4,24
954,bfh,24
955,amaz1ng,24
956,antonkill,24
957,disc,24
958,delta,24
959,dark.man,24
960,dukelamer,23
961,cybercorsair,23
962,anarchy control,23
963,alonetrio,23
964,bnx hacker,23
965,kai,23
966,infidelz,23
967,le4derofh4ck,23
968,leetsec,23
969,freecall,23
970,h4715,23
971,herbless,23
972,mr.f@rdin,23
973,moroccan hassan,23
974,mgharba,23
975,pkk-militan,23
976,rocket,23
977,root-core,23
978,w00tx0rs,23
979,web angels,23
980,xen,23
981,xatli,22
982,whp,22
983,tn_scorpion,22
984,tukiller,22
985,ziion2000,22
986,saeed.jok3r,22
987,ochin,22
988,mr.lionhurt,22
989,n4ck0,22
990,hitler 737,22
991,h998r,22
992,fnfhm,22
993,egyptian|fighter,22
994,el matador,22
995,l0phtiran,22
996,jayv[e]e,22
